,Tweets,len,ID,USER,userName,User Location,Language,Date,Source,Likes,Retweets,Geo,Coordinates,Place
41,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280389388799623170,reinventionfail,FRACT ✊ Your Right To Know !,Australia,,2020-07-07 06:33:13,Twitter for iPhone,0,176,,,
42,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280389156850601984,denkraumverzerr,denkraumverzerrung,andromedagalaxie,,2020-07-07 06:32:18,Twitter for Android,0,176,,,
43,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280388946896269312,MeriemLC,MLola,Ici,,2020-07-07 06:31:28,Twitter for iPhone,0,176,,,
44,#Brazil #Brasilia #Coronavirus  Brazilian President Jair Bolsonaro is undergoing a corona test.  Bolsonaro explains to his supporters outside the Presidential Palace that an additional examination of his lungs has shown no evidence of Covid-19.,244,1280388464161193984,Xy5Z89,Xy5Z89🇩🇪🇪🇺,"Deutschland, EU ",,2020-07-07 06:29:32,Twitter for Android,2,0,,,
45,@John_F_Kennnedy @GregAbbott_TX If you look at the hardest hit countries and the narrative about it against Trump and Bolsonaro (Brazil’s president that’s fighting hard against China and communism) the left needs them out of the way. Now they’re calling Britain irresponsible (Brexit) 👀https://t.co/QpmuGNnzCj,309,1280388290193928192,spiritwalker_20,Spiritwalker_2020,"California, USA",,2020-07-07 06:28:51,Twitter for Android,0,1,,,
46,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280388255565971456,BIe07516153,BIe,,,2020-07-07 06:28:43,Twitter for iPhone,0,176,,,
47,Even seemingly independent acts of violence bear echoes of the Brazilian president’s rhetoric. https://t.co/5SeiyaN80y,118,1280388137072635904,Slate,Slate,,,2020-07-07 06:28:14,SocialFlow,10,6,,,
48,"BREAKING: President of Brazil Jair Bolsonaro is showing symptoms of coronavirus, test results expected tomorrow - CNN Brazil / Reuters",134,1280388058064588800,LaniBeno,Alana Benson,"North Lincolnshire, England.",,2020-07-07 06:27:56,Twitter for Android,0,894,,,
49,Even though President #JairBolsonaro of #Brazil was displaying symptoms of #Covid-19 on July 4th he attended a luncheon without a mask   He’s repeatedly down played the seriousness of the Virus  Tweeting this for anyone (#Trump) who disputes the #FACTS   https://t.co/aXU66fTWto,278,1280387514281402369,Realhurricane,H꙰U꙰R꙰R꙰I꙰C꙰A꙰N꙰E꙰ 🏳️‍🌈,33480,,2020-07-07 06:25:46,Twitter for iPhone,0,0,,,
50,#JairBolsonaro: Brazilian President Jair Bolsonaro was tested for #COVID19 after having an X-ray of his lungs. He didn't say whether he was showing symptoms of the new #coronavirus. #COVID #CoronavirusPandemic  https://t.co/iymfgUq3E7,234,1280386871172796416,tmcgregorchina,Tom McGregor,Beij,,2020-07-07 06:23:13,Twitter Web App,0,2,,,
